,material_id,composition,band_gap
808,1969,In0.8Al0.2P,1.7
809,2306,La2S3,2.77
810,4542,UO2,2.18
811,1271,CuSbS2,1.39
812,518,Bi4PdSe4O12,2.06
813,3332,Pb0.98Te0.98Ge0.02S0.02,0.34
814,62,AgCd3PS6,2.56
815,4259,ThOSe,1.65
817,4859,ZnSnAs2,0.7033333333333333
818,2749,Lu2O3,5.5
819,3261,OsPS,1.4
820,1022,CsCd4Ga5Te12,1.67
821,1573,Ga0.85Al0.15As,1.6
822,1695,GdTe,1.3
823,2559,Li4Rb3B7O14,6.53
824,710,CdIO4H,4.35
825,1618,GaAs,1.4819399999999998
826,1673,Gd4GaSbS9,2.41
827,3746,RuSe2,1.0
828,4408,TlGaTe2,1.8
829,3412,PbSb2Se4,1.8
830,612,CaBi2O4,3.08
831,3712,ReO3,2.3
832,4361,Tl2S,1.0
834,323,Ba4Si3Se9Cl2,1.76
835,1827,Hg0.8Zn0.2Te,0.075
836,4856,ZnSiAs2,2.12
837,458,Bi0.4Te3Sb1.6,0.208
838,991,Cs4GeP4Se12,2.0
839,292,Ba3Nb2Se9,1.3
840,2093,K2CuIn3Se6,1.68
841,119,Al2S3,4.1
842,813,CeF3,4.85
843,1419,Eu3Bi4S9,1.18
844,2196,KBiCu2S3,1.29
845,928,Cs2AgVS4,1.77
846,77,AgIn3Te5,0.68
847,4456,Tm4Sb2Se11.68,1.22
848,2072,K2AgSnSe4,1.8
849,728,CdS0.55Se0.45,2.05
850,3964,Sn2S,0.8999999999999999
851,2163,K4Nb2S11,2.2433333333333336
852,1423,Eu3Sb4S9,1.2
853,3856,SiP2,1.89
854,4406,TlGaS2,3.4
855,1092,CsTbZnTe3,2.12
856,2084,K2Cd3Se4,2.36
857,1743,H2Ti6O13,3.4
859,4108,Ta0.67Zr1.33O1.89N1.63,2.48
860,2619,LiBi4Nb3O12,3.0
861,1293,Dy2S3,2.955
862,2296,La2NiVO6,0.45
863,19,Ag2MoI4O14,3.06
864,3985,SnO2,3.597
865,1043,CsGe5BO12,4.89
866,32,Ag3AsSe3,2.0884285714285715
867,2251,KSbSe2,1.47
869,4365,Tl2TeBr6,2.06
871,3087,NaSb,0.82
872,534,BiOBr,2.924
873,3435,PdP2,0.65
874,3640,RbBr,7.45
875,163,AsI3,2.4333333333333336
876,4001,Sr0.5TaO3,3.7
877,3067,NaH3Se2O6,4.9
878,243,Ba2InTaO6,4.17
879,4239,Th2Se5,0.37
880,927,Cs2AgBiCl6,2.77
881,1586,Ga0.99Sb0.99Cd0.01Te0.01,0.72
882,429,BaUSe3,1.0
883,3268,OsTe2,0.3
884,3670,RbInS2,3.3
885,2203,KCd4Ga5Se12,2.16
886,1590,Ga0.9Sb0.9Hg0.1Te0.1,0.65
887,4803,Zn0.99Hg0.01Se,2.6
888,2184,KAgAsS2,2.21
889,1624,GaAs0.2P0.8,2.2
890,4839,ZnGa2Se4,1.72
891,1417,Eu3As2,0.6
892,2799,Mg2Pb,0.097
893,1721,Ge2Sb2Te5,0.5
895,4801,Zn0.95S0.95Ga0.05P0.05,2.85
896,4394,TlCr5S3Se5,0.8
897,2050,Ir2Sn3Se3,0.43
898,3152,Nd2Sn3Se9,0.5
899,3609,Rb3Sb2I9,1.94
900,1016,CsBiSe2,1.07
901,918,CrO3,1.4
903,338,Ba6Ga2SnSe11,1.99
904,1556,Ga0.3As0.3Zn0.7Se0.7,1.93
905,3999,SnSi,0.59
906,4354,Tl2Hg3Se4,1.57
907,4041,Sr8.007Ge2.043Bi7.949Se24,0.74
908,2790,Mg2Co,0.66
909,3181,NdB6,4.9
910,2804,Mg2Sn,0.2723076923076923
911,2627,LiCa3As2H,1.4
912,91,AgP15,1.47
913,383,BaGe2,1.0
914,76,AgI,2.932183333333333
915,2015,InBi2S4Cl,1.5
916,3468,Pr2.48Tb0.52Ga1.67S7,2.61
917,47,AgAlO2,3.6
918,3365,Pb2BO4H,3.76
919,1571,Ga0.7Al0.3As,1.81
921,3252,NiO,4.0
922,3681,RbPSe6,2.18
923,1546,Ga0.01Sb0.01Cd0.99Te0.99,1.35
924,881,CoSb3,0.495
925,4370,Tl3CuNb2Se12,0.8
926,1242,CuGaO2,1.47
928,1494,EuSnTe2,0.6
929,490,Bi2SI2O11,3.74
930,754,Ce2O2FeSe2,0.64
931,3551,PtS,0.6066666666666667
932,585,Ca3N2,1.55
933,4097,SrTiO3,3.4124999999999996
934,4388,TlBiTe3,0.5
935,2090,K2Cu2Sn2Se6,1.04
937,567,Ca2SmTaO6,3.45
938,1475,EuO,1.119
939,3967,Sn3As2,0.47
941,3059,NaCeS3,2.15
942,3981,SnGeS3,2.23
943,312,Ba4CuInSe6,2.23
944,4842,ZnGeN2,3.05
945,3984,SnO,3.0
946,39,Ag7AsS6,1.0
947,923,Cs1.13Cd1.13Bi2.87Se6,1.0
948,4422,TlPTe,0.3
949,4862,ZnSnSb2,0.35
950,90,AgO,1.57
952,4857,ZnSiP2,2.07
953,3747,RuTe2,0.25
954,419,BaTaO2N,1.78
956,2173,K8Ce2I18O53,2.34
957,663,Cd0.01Te0.01Al0.99Sb0.99,2.21
958,1083,CsSbTe2,0.43
959,2222,KH3Se2O6,4.9366666666666665
960,3824,ScTiNbO6,3.58
961,330,Ba5Ga6GeP12,1.39
962,3405,PbGa4S7,3.08
963,744,Ce1.3Lu0.7S3,1.25
964,2314,La2ZrS5,2.01
965,2307,La2Se3,1.7733333333333334
966,1127,Cu0.4In1.6Se2.6,1.32
967,1996,In2Se2O7,2.97
968,1132,Cu0.7In1.3Se2.3,1.1
969,1485,EuSb4S7,0.98
970,3011,Na2ZnSn2S6,2.93
971,4651,YFMoO4,3.78
972,719,CdP2,2.1035
973,622,CaGd2S4,2.55
974,2983,Na2Hg3Si2S8,2.86
975,867,CoAsS,0.6
976,947,Cs2Hg5.75Cd0.25S7,1.66
977,4664,YNiSb,0.235
978,2318,La3CuGeSe7,2.0
979,3914,SmBiW2O9,3.39
980,317,Ba4Ge3S9Cl2,2.91
981,3755,Sb3O4I,2.61
982,3382,Pb4Ga5GeS12,2.35
984,2249,KSbS2,1.6900000000000002
985,465,Bi12PO20,3.25
986,2323,La3LuSe6,1.26
988,3145,Nd2HfS5,0.7
989,4257,ThO2,3.4
990,2530,Li4.5Al0.5TeO6,4.9
992,989,Cs4BiAs3Se7,1.02
993,4337,TiSe2,1.55
994,2587,Li6Mo6Se6O33,3.3
996,2162,K4In4P6Se20,2.2
997,2330,La3Te4,0.43
998,2416,Li2CdGe,0.99
999,1108,CsZn4In5Te12,1.61
1000,3374,Pb2SbS2I3,2.0
1001,2358,LaCuOTe,2.31
1002,2707,LiSbS2,1.36
1003,3993,SnS0.8Se0.2,1.05
1004,2620,LiBi4Ta3O12,3.5
1005,976,Cs3As,0.6
1006,59,AgBiSe2,0.34
1007,2286,La2Ge2Se7,1.08
1009,2621,LiBiS2,0.16
1011,2105,K2Hg3S2.69Se1.31,2.28
1012,459,Bi0.6Te3Sb1.4,0.197
1013,3366,Pb2Bi5.9La2.1S14,1.0
1014,1558,Ga0.4Al0.6As,2.3
1016,3394,PbBiO2Cl,2.45
1017,2125,K2Se,1.8
1018,2048,Ir0.67S2,2.0
1019,3328,Pb0.97Se0.97Ge0.03S0.03,0.28
1020,1118,Cu0.2Ga1.8S2.8,2.675
1021,2987,Na2In2SiS6,3.27
1022,1149,Cu2Ga4Te7,1.13
1023,1958,In0.4As0.4Ga0.6P0.6,1.85
1024,1307,Dy4S4Te3,1.43
1025,2060,K1.46Sn3.09Bi7.45Se15,0.39
1026,3079,NaLa2TaO6,4.5
1028,3736,RuAsS,1.2
1029,527,BiCuOS,1.07
1030,3882,Sm2Te3,0.7
1031,164,AsNMg3,1.332
1032,160,As4S4,2.4
1033,1482,EuSb2BO8,3.46
1034,4068,SrLa2S4,2.85
1035,421,BaTeMo2O9,3.12
1037,1414,Eu2Se3,1.02
1038,1295,Dy2Te3,0.69
1039,3273,P2Se5,2.2
1040,1078,CsRbP2Se8,2.41
1041,782,Ce4Ge3S12,2.3
1042,4825,Zn3Sb2,0.1766666666666666
1043,2103,K2Hg3Ge2S8,2.67
1044,3488,Pr4InSbSe9,1.89
1045,2137,K3Bi2I9,2.1
1046,1620,GaAs0.01Sb0.99,1.37
1047,2982,Na2Hg3S2.51Se1.49,2.03
1048,2058,K0.8Hg1.2Sn2S8,2.78
1049,3264,OsSb2,0.2366666666666666
1050,3331,Pb0.98Se0.98Bi0.04Te0.06,0.28
1051,51,AgAsS2,2.2
1052,3482,Pr2Te3,1.32
1054,1853,Hg4P2ZrCl6,3.22
1055,3408,PbMnIn2S5,1.45
1056,4461,TmAs,1.18
1057,4353,Tl2Hg3S4,2.05
1058,1081,CsSbS2O8,4.68
1060,1219,CuAlS2,3.5
1061,4050,SrB6,3.68
1062,3326,Pb0.96TeIn0.04,0.37
1063,2290,La2HfS5,0.7
1064,1981,In0.99P0.99Ga0.01As0.01,1.3
1065,1250,CuIn3Te5,1.1065
1066,1715,Ge0.9355Si0.0645,1.042
1067,987,Cs3W3PO13,3.27
1068,2578,Li6Fe2Te8O22,1.98
1069,1550,Ga0.1As0.1Zn0.9Se0.9,2.34
1070,774,Ce3MoO7,2.0
1072,489,Bi2S3,1.3199999999999998
1073,314,Ba4Ga2Se8,1.63
1074,3745,RuSbTe,0.5
1075,1029,CsCl,7.949999999999999
1076,3304,Pb0.8Se0.8Sn0.2Te0.2,0.14
1077,1834,Hg2I2,2.37
1078,514,Bi3In4S10,1.42
1079,3125,Nb6VSb3O25,3.2
1080,3385,Pb4V2Se6O21,3.37
1082,2043,InSe,1.254725
1083,2014,InBi2S4Br,1.5
1085,4852,ZnS,3.7042
1086,4603,WO3,2.8000000000000003
1087,3386,Pb6B2CrO12,1.8
1088,1707,Ge0.6Si0.4,0.9
1089,762,Ce2Te3,1.31
1090,1205,Cu3YbS3,1.56
1091,1660,Gd2O3,5.3
1092,4018,Sr2V3Se5O18,2.47
1093,3356,Pb0.9Se0.9Ge0.1S0.1,0.32
1094,2008,In6S7,0.8450000000000001
1095,3317,Pb0.94Sn0.06Te,0.28
1096,2921,MnI2,4.220000000000001
1098,1793,HfS2,2.9
1099,156,As2S5,2.48
1100,548,BiZn2VO6,2.4
1101,66,AgFeTe2,0.3675
1103,3581,Rb2HgP2Se6,2.32
1104,831,CeN,0.7
1105,509,Bi2V2Se4O16,2.2
1106,1470,EuN,1.25
1107,2076,K2Au2Sn2Se6,2.28
1108,1959,In0.4Ga0.6P,2.05
1110,284,Ba3InS4Cl,3.42
1111,2974,Na2CsSb,0.8
1112,1811,Hg0.1Zn0.9Te,1.785
1113,1549,Ga0.15As0.15Zn0.85Se0.85,2.25
1114,3649,RbCdB3O6,4.2
1115,1125,Cu0.3In1.7Se2.7,1.21
1116,4390,TlCl,3.4182
1118,1486,EuSb4Te7,0.54
1119,57,AgBiP2Se6,1.4
1120,3597,Rb3Al3Ge7S20,3.1
1121,668,Cd0.9Te0.9Al0.1Sb0.1,1.36
1122,1306,Dy4GaSbS9,2.58
1123,532,BiIO3F2,3.97
1124,457,Bi0.2Te3Sb1.8,0.28
1125,1985,In0.9P0.9Ga0.1As0.1,1.32
1126,2147,K3Nb2AsSe11,1.53
1127,497,Bi2Te0.4Se2.6,0.7
1129,1514,Fe2Te3,0.47
1130,2039,InSb0.9As0.1,0.27
1131,524,Bi9O7.5S6,1.27
1132,2238,KNb3Se2O12,3.46
1133,435,BaZnOS,3.9
1134,1631,GaAs0.75Sb0.25,0.65
1135,2095,K2CuNbSe4,2.14
1136,3390,Pb6Sb6Se17,0.8
1137,1145,Cu2CdGeS4,2.05
1139,1025,CsCdBO3,2.58
1140,1062,CsLiB6O10,6.89
1141,2445,Li2In2SiSe6,2.54
1142,3346,Pb0.99Sn0.01Se,0.2025
1144,3411,PbS,0.3620714285714285
1147,2703,LiPbB9O15,4.75
1148,3661,RbGeB3O7,5.58
1149,3722,Rh2S3,0.8
1150,2522,Li3ScN2,2.9
1151,2980,Na2GeIn2Se6,2.47
1152,1428,Eu7Ga6Sb8,0.6
1153,3983,SnI4,2.38
1154,1111,Cu0.01In1.99Se2.99,1.45
1155,49,AgAlSe2,2.55
1156,2951,MoSe2,1.6
1157,2299,La2O2ZnSe2,3.4
1158,4060,SrGe2,0.9
1159,1204,Cu3YTe3,0.72
1160,385,BaHgS2,1.93
1161,2009,In6Se7,0.63875
1162,3669,RbInGeS4,3.1
1164,3503,PrB6,4.9
1165,1954,In0.3As0.3Ga0.7P0.7,2.05
1166,254,Ba2SmTaO6,3.02
1167,155,As2S3,2.416333333333333
1168,1674,Gd6Ge2.5S14,2.2
1169,295,Ba3Sb2S7,2.4
1170,2221,KH2PO4,6.975
1171,3657,RbF,10.4
1172,3881,Sm2Sn3Se9,0.7
1173,3976,SnCl2,3.9
1174,220,Ba2GaGdTe5,1.12
1175,498,Bi2Te0.6Se2.4,0.28
1176,1011,CsB3GeO7,5.76
1178,1709,Ge0.7Si0.3,0.88
1179,3003,Na2Ti3O7,3.51
1180,674,Cd3As2,0.2695
1181,4846,ZnIn2S4,2.753
1182,483,Bi2O2CO3,3.42
1183,2148,K3SmAs2S8,2.2
1184,1704,Ge0.4Si0.6,0.94
1185,3750,Sb2S3,1.709
1186,475,Bi25TiO39,3.1
1187,2613,LiAsS2,1.6
1188,743,CdTlS2,1.5
1189,1719,Ge0.9Si0.1,0.8
1190,4722,YbAs,1.02
1191,2006,In4Te3,0.51
1192,1158,Cu2O,2.6133333333333333
1193,1865,HgGa2S4,2.815
1194,4415,TlInTe2,0.6666666666666666
1195,1100,CsYHgSe3,2.54
1196,2914,MnF2,9.9
1197,2200,KBiSiS4,2.25
1198,2797,Mg2GeSe4,2.02
1199,3284,Pb0.75Ge0.25Te,0.44
1200,405,BaPdSe6,2.15
1201,1957,In0.4Al0.6P,2.3
1202,2455,Li2MnGeS4,3.06
1203,4784,Zn0.01S0.01Ga0.99P0.99,2.25
1205,3599,Rb3Bi2Br9,2.62
1206,2,Ag0.2Cd0.75In2.1Te4,0.54
1207,2270,KZrPSe6,2.0
1208,3025,Na4MgSi2Se6,2.85
1210,506,Bi2Te2SO10,3.6
1211,2439,Li2HgGeS4,2.46
1212,2342,La6Sb4S3O12,2.6
1213,2938,MnSi,0.6
1214,1737,GeSe2O6,5.289999999999999
1215,729,CdS0.65Se0.35,2.13
1216,2618,LiBi3O4Cl2,3.35
1217,2182,KAg2SbS3,2.1
1218,1199,Cu3TbSe3,0.16
1219,3749,Sb2O3,3.255
1220,2077,K2Au2SnS4,2.75
1221,2339,La5Cu6.33O4S7,2.0
1222,3859,SiSn,0.59
1223,1255,CuInSe2,0.9517142857142856
1224,1260,CuN3,4.17
1225,2468,Li2PtO3,2.3
1226,1708,Ge0.774Si0.226,1.503
1227,375,BaGa2GeSe6,2.515
1228,4934,ZrSe3,1.45
1229,3587,Rb2PtI6O18,2.4
1230,2978,Na2GdP2O8,4.185
1231,1171,Cu2ZnGeSe4,1.63
1232,1079,CsSb,0.7050000000000001
1233,2248,KSb5S8,1.745
1234,1605,Ga1.1Sb0.9Te0.3,0.7
1235,328,Ba5Ga2Se8,2.51
1236,1869,HgIn2Te4,1.0933333333333333
1237,2198,KBiS2,0.8933333333333334
1238,4260,ThOTe,1.45
1239,88,AgN3,3.67
1241,3397,PbCl2,3.953333333333333
1242,1252,CuInCd2Te3,0.7
1243,58,AgBiS2,0.9
1244,4424,TlS,1.3650000000000002
1247,3638,RbBiS2,1.2733333333333334
1248,2374,LaInS2O,2.73
1249,225,Ba2GaSmTe5,1.04
1250,2986,Na2In2GeS6,3.17
1251,4025,Sr3EuP3O12,3.987
1252,3850,SiAs2,0.88
1253,4090,SrSeO4,4.75
1254,134,AlB12,2.14
1255,1587,Ga0.99Sb0.99Hg0.01Te0.01,0.72
1257,689,Cd4Sb3,1.25
1258,245,Ba2InYTe5,1.36
1259,3895,Sm3Te4,0.51
1260,2849,MgO,7.745
1261,1233,CuFeTe2,0.16
1262,43,Ag8GeS6,1.18
1263,2999,Na2Te,2.3
1265,4798,Zn0.85Hg0.15Se,1.8
1266,1735,GeSe,1.1827777777777777
1267,1396,ErSe2,1.07
1268,4026,Sr3GeSb2Se8,0.75
1270,1962,In0.5As0.5Ga0.5P0.5,1.55
1271,3288,Pb0.7Ge0.3Se,0.4
1272,2169,K6Nb1.07Ta2.93S22,1.88
1275,4785,Zn0.15Cd0.85Se,2.55
1276,579,Ca3BiP3O12,4.2
1277,341,Ba7AgGa5S15,2.6
1278,2062,K10Co4Sn4S17,1.5550000000000002
1279,4783,Zn0.01Cd0.99Se,2.45
1280,3310,Pb0.93Sn0.07Se,0.075
1282,4089,SrSe,4.42
1284,3371,Pb2N2SeO9,3.76
1285,1422,Eu3S4,1.7
1286,4023,Sr3BiP3O12,4.0
1287,4316,TiCoSb,0.95
1288,4015,Sr2SmTaO6,3.38
1289,3049,NaBiS2,0.41
1290,248,Ba2NdGaS5,2.12
1291,3481,Pr2Sr2PtO7.07,3.05
1292,1235,CuGa1.6In0.4S3.5,2.15
1293,4922,ZrO2,4.99
1294,1824,Hg0.7Cd0.3Se,1.1
1295,1121,Cu0.35Ga1.65S2.65,2.55
1296,492,Bi2SeI2O11,3.7
1297,240,Ba2InSbSe5,1.92
1298,652,CaTaO2N,2.4
1299,4737,YbGa2Se4,1.8
1300,3617,Rb4Mo5P2O22,3.51
1303,2885,Mn2P2Se6,2.5
1304,4376,Tl4CdI6,2.8
1305,2943,MnTe9,2.0
1306,4612,Y2O3,5.6
1307,1169,Cu2WSe4,1.65
1308,679,Cd3P2,0.5555
1309,3730,RhSe2,0.6
1310,650,CaSm2S4,2.05
1311,828,CeMn0.5OSe,2.01
1312,4334,TiS2,1.95
1313,1389,ErN,2.7
1314,436,BaZnSiSe4,2.71
1315,3316,Pb0.94Sn0.06Se,0.1766666666666666
1316,2171,K6Yb3P5S20,2.6
1317,3685,RbSbS2,2.063333333333333
1318,3837,SeS,1.9
1319,3376,Pb3B3O10N,3.64
1320,3979,SnGa4Se7,2.55
1321,1649,GaSe,2.0835961538461536
1322,3071,NaIn3Se5,2.17
1323,1880,HgSnO3,1.6
1324,3359,Pb0.9Sn0.1Te,0.16
1325,2685,LiMgBi,0.4
1326,2931,MnSb2O4,2.65
1327,3083,NaNO2,3.06
1328,1698,Ge0.001Si0.999,1.09
1329,3253,NiP2,0.51
1330,215,Ba2GaDySe5,2.35
1331,4789,Zn0.4Hg0.6Se,0.4599999999999999
1332,242,Ba2InSmTe5,1.36
1333,3605,Rb3NaMo2O8,4.84
1334,4410,TlHg6Se4Br5,2.8
1335,3932,SmIn3S6,1.18
1336,4853,ZnSb,1.0833333333333333
1337,2204,KCeSe4,1.54
1338,1277,CuYO2,3.5
1339,1133,Cu0.8Ga1.2Se2.2,1.58
1340,3395,PbBr2,3.31
1341,1262,CuNbO3,2.0
1342,2435,Li2Ga2GeS6,3.65
1343,266,Ba3B1.5S6Sb0.5,3.01
1344,250,Ba2Sb7O14H,2.7
1345,956,Cs2P2Se8,2.44
1346,193,Ba2B4O9H2,5.12
1347,4583,VFeSb,0.46
1348,2096,K2CuVS4,1.82
1349,3994,SnS0.99Se0.01,1.0950000000000002
1350,2310,La2Sr2PtO7.13,2.52
1351,2112,K2MnSn2Se6,2.0
1352,1126,Cu0.4Ga1.6S2.6,2.475
1353,235,Ba2InErTe5,1.35
1354,1681,GdH2NO5,4.84
1355,4378,Tl4GaIn3S8,2.63
1356,1988,In2Bi3Se7I,1.38
1358,2988,Na2In4SSe6,1.92
1359,441,Be3N2,3.8
1360,3606,Rb3Nb2AsSe11,1.5
1361,2107,K2HgP2Se6,2.25
1362,2614,LiAsSe2,1.2366666666666666
1363,3763,SbSBr,2.1999999999999997
1364,40,Ag7AsSe6,1.0
1365,1841,Hg3PS4,2.03
1366,1240,CuGaGeSe4,1.38
1367,2417,Li2CdGeS4,3.1
1368,3389,Pb6BBrO7,2.84
1369,1239,CuGa3Te5,1.092
1370,2128,K2Sn3Sb2S10,2.3
1371,2399,LaZnAsO,1.5
1372,2187,KAlGeS4,3.5
1373,1346,DyTe1.45,0.6
1375,1015,CsBiS2,1.4166666666666667
1376,2280,La2CoTiO6,1.02
1377,2138,K3CdB5O10,3.47
1378,2652,LiGaGe2Se6,2.64
1379,3592,Rb2TeI6,1.4
1380,1237,CuGa2Se4,0.63
1381,3689,RbTa3Te2O12,3.88
1382,753,Ce2GeSe5,1.7
1383,959,Cs2PtI6O18,2.4
1384,4797,Zn0.7S0.7Ga0.3P0.3,2.45
1388,4215,TcS2,1.0
1389,3650,RbCl,8.278
1390,1018,CsCaBO3,4.065
1391,4895,Zr6O,0.18
1392,374,BaGa2GeS6,3.245
1393,1677,GdB6,3.6
1395,4135,TaGaSe2,2.0585
1396,2030,InSb0.1As0.9,0.14
1397,4407,TlGaSe2,1.65
1398,4387,TlBiTe2,0.12
1399,17,Ag2GeTe3,0.16
1401,999,Cs5P5Se12,2.17
1402,279,Ba3FeS4Br,1.65
1403,3282,Pb0.6Ge0.4Te,0.51
1404,1560,Ga0.4As0.4Zn0.6Se0.6,1.8
1405,2945,MnVTe2O8,1.9
1406,967,Cs2TeBr6,2.12
1409,3779,Sc2S3,2.0
1410,4139,TaON,2.5999999999999996
1411,1462,EuIn2Te4,1.22
1413,2109,K2La2Sb2S9,2.2
1414,79,AgIn5Te8,0.47
1415,968,Cs2TeI6,1.5
1416,1879,HgSe,0.2416666666666667
1417,1632,GaAs0.7P0.3,1.8
1418,3092,NaSbTe2,0.47
1419,2259,KTbSe4,1.65
1420,4094,SrTaO2N,1.99
1421,410,BaS,3.89
1422,4356,Tl2InGaSe4,2.05
1423,1467,EuLu2Se4,1.7
1424,1263,CuNiC4N4,2.7
1425,1045,CsH3Se2O6,4.77
1426,1146,Cu2CdGeSe4,1.2
1427,1863,HgCl2,4.45
1428,2178,KAg11V4O16,2.0
1429,2966,Na2BaSnS4,3.27
1430,2005,In4Se3,0.645
1431,4404,TlCuCl3,2.98
1432,3291,Pb0.83Sn0.17Te,0.15
1433,3594,Rb2TiCu2S4,2.19
1434,3995,SnS2,2.43
1435,2047,InSnAsSe,0.26
1436,2589,Li6Rb5B11O22,6.53
1437,1585,Ga0.99P0.99Zn0.01Se0.01,2.24
1438,1107,CsZn4In5Se12,1.61
1439,2078,K2AuI5O15,2.65
1440,3966,Sn2WO5,2.597
1441,2481,Li2ZnGe,1.1
1442,1177,Cu3AsS4,1.36
1443,3889,Sm3Al0.33SiS7,2.26
1444,464,Bi12GeO20,3.25
1445,1236,CuGa2S3.5,2.42
1446,699,CdBiO2Cl,3.08
1447,2668,LiIO3,4.1850000000000005
1448,3945,SmSb,0.59
1449,491,Bi2Se3,0.375
1450,2872,Mn15Si26,0.701
1452,1223,CuBiP2Se6,1.2
1453,1576,Ga0.8In0.2As,1.07
1454,1272,CuSbSe2,1.05
1455,3422,PbSeO4,4.3
1456,2051,IrAs2,1.0
1457,300,Ba3Tb2P4S16,3.37
1458,4229,TeI4,1.1
1459,1842,Hg3S2Bi2Cl8,3.26
1460,214,Ba2GaBiTe5,1.43
1461,4396,TlCr5S5Se3,0.89
1463,3860,SiTe2,2.015
1464,1046,CsHgInS3,2.3
1465,281,Ba3GeS5,3.0
1466,3148,Nd2O3,4.4
1467,234,Ba2InErSe5,2.29
1468,1725,GeAs,1.37
1469,1180,Cu3DySe3,0.2
1472,3570,Rb2Cu2Sb2S5,1.6
1473,3565,Rb2Cd3Te4,2.3
1474,3325,Pb0.96TeGa0.04,0.37
1475,3556,Rb1.54Cd1.54Bi2.46S6,1.33
1476,2436,Li2GaGe2Se6,2.64
1477,3515,PrFMoO4,3.64
1478,1267,CuPbBiS3,0.12
1479,4216,TcSe2,0.88
1480,4628,Y4GaSbS9,2.06
1481,1581,Ga0.95Sb0.95Zn0.05Te0.05,0.85
1482,1608,Ga2O3,4.470000000000001
1483,369,BaCuSbSe3,1.6
1484,1109,CsZrPSe6,2.0
1485,1644,GaHSeO4,5.51
1486,1995,In2Se,0.7226666666666667
1487,1515,Fe2TiSi,0.4
1488,3391,Pb7Bi4Se13,0.29
1489,5,Ag0.5Eu1.75GeS4,2.14
1490,2371,LaIn3S6,1.03
1491,1243,CuGaS2,2.442857142857143
1492,3961,Sn0.5GaZn5.5O8,2.99
1493,507,Bi2Te2Se,0.3
1494,1858,Hg7.5As4Cl6,1.727
1495,1075,CsPSe6,1.9
1497,3956,SmTe,0.378
1498,3413,PbSbBS4,1.803
1499,2873,Mn2.04Gd1.47In0.49S5,1.75
1500,540,BiSCl,1.91
1501,1060,CsKP2Se8,2.36
1502,106,AgTlTe2,0.1
1503,1583,Ga0.99As0.99Zn0.01Se0.01,1.39
1504,2033,InSb0.4As0.6,0.1
1505,3298,Pb0.85Sn0.15Te,0.15125
1506,736,CdSiAs2,1.524
1507,3561,Rb2BaNb2Se11,1.53
1508,3900,Sm4InSbS9,2.13
1510,1828,Hg0.99Cd0.01Se,1.72
1511,2706,LiRbCO3,6.28
1512,4850,ZnMoSb2O7,3.3
1513,3051,NaBr,7.261666666666667
1514,1717,Ge0.97Si0.03,0.67
1515,1241,CuGaInS3.5,1.84
1516,4796,Zn0.75Hg0.25Se,1.4
1519,4428,TlSbTe3,0.38
1520,1701,Ge0.1Si0.9,1.04
1521,2081,K2Bi8Se13,0.53
1522,1138,Cu0.9In1.1Se2.1,1.06
1523,4386,TlAsSe2,1.375
1524,1593,Ga1.001Sb0.999Te0.003,0.72
1525,669,Cd12Ge17B8O58,4.29
1526,504,Bi2Te2.7Se0.3,0.206
1527,3846,Si3N4,5.1
1528,1026,CsCdInSe3,2.4
1531,3743,RuSb2,0.3
1532,2933,MnSb2Se4,0.31
1533,3549,PtP2,0.7
1534,1866,HgGa2Se4,1.95
1535,977,Cs3Bi,0.625
1536,1481,EuS,1.6616666666666664
1537,1712,Ge0.891Si0.109,1.126
1538,307,Ba4AgGa5S12,2.52
1540,3715,ReS2,1.143333333333333
1541,2391,LaSi2,0.19
1542,666,Cd0.95Te0.95Al0.05Sb0.05,1.37
1543,4076,SrNd2S4,2.45
1544,495,Bi2Te0.3Se2.7,0.24
1545,219,Ba2GaGdSe5,1.87
1546,1658,Gd2Mn4S7,1.44
1547,511,Bi38ZnO58,2.88
1548,1983,In0.9As0.9Cd0.1Te0.1,0.69
1549,2532,Li4.5Fe0.5TeO6,3.25
1551,2990,Na2KSb,1.05
1552,4418,TlN3,3.58
1555,1063,CsLu7S11,1.86
1556,2324,La3Mg0.5SnS14,1.71
1557,3576,Rb2CuVS4,1.85
1558,961,Cs2Sb,0.62
1560,2116,K2Nd2Ti3O10,3.25
1561,3596,Rb3Ag9P4S16,2.6
1562,2057,K0.6Cs0.4PSe6,2.1
1563,2548,Li4HgGe2S7,2.75
1564,1736,GeSe2,2.3812499999999996
1565,1453,EuGa2S4,2.25
1566,1871,HgO,2.347
1569,174,B2O3,4.895
1570,1170,Cu2ZnGeS4,2.1
1571,850,CeTaN2O,1.9
1572,1122,Cu0.35Ga1.65Se2.65,1.81
1573,4399,TlCr5S8,1.01
1574,4095,SrTe,3.75
1575,2927,MnO2,1.3
1576,1584,Ga0.99In0.01As,1.4
1579,949,Cs2HgI2Cl2,2.15
1580,3572,Rb2Cu2Sn2Se6,1.04
1581,1246,CuI,3.0264
1582,1136,Cu0.99In1.01Se2.01,1.08
1583,1629,GaAs0.65Sb0.35,0.68
1585,3309,Pb0.92Sn0.08Te,0.145
1586,452,BeSe,4.0
1587,4105,SrZrS3,0.9
1588,1599,Ga1.01Sb0.99Te0.03,0.68
1590,4340,TiTlS2,1.0
1591,265,Ba3B1.5S6Bi0.5,2.43
1592,720,CdP2S4,3.76
